Index,Latitude,Longitude,Frequency
1,Not Found,Not Found,undefined
2,42.58826946,-87.92833138,25
3,42.592802,-87.931795,2
4,42.588922,-87.924008,3
5,42.593118,-87.929769,1
6,42.589281,-87.923867,12
7,42.588479,-87.92567,7
8,42.583859,-87.928529,4
9,42.584361,-87.92642,5
10,42.58824,-87.931907,1
11,42.586395,-87.928652,5
12,42.589823,-87.929788,5
13,42.589004,-87.928218,5
14,42.585955,-87.93318,9
15,42.586431,-87.932785,1
16,42.59154,-87.924277,11
17,42.592191,-87.927173,5
18,42.584663,-87.929301,6
19,42.586162,-87.926502,11
20,42.591236,-87.929534,7
21,42.589294,-87.923988,9
22,42.584253,-87.929694,8
23,42.58375,-87.924644,6
24,42.587653,-87.923781,3
25,42.586381,-87.926826,2
26,42.591335,-87.928624,9
27,42.590824,-87.928093,11
28,42.591809,-87.925217,5
29,42.584868,-87.931275,3
30,42.584936,-87.926322,11
31,42.586662,-87.928693,12
32,42.583571,-87.92372,7
33,42.584121,-87.92839,12
34,42.588837,-87.929378,2
35,42.589597,-87.930628,6
36,42.584671,-87.929125,10
37,42.589597,-87.923631,3
38,42.58606,-87.932225,6
39,42.589999,-87.926053,8
40,42.590904,-87.930415,5
41,42.588016,-87.924061,10
42,42.584282,-87.929092,8
43,42.587765,-87.93292,7
44,42.583667,-87.930594,4
45,42.587147,-87.92719,10
46,42.588768,-87.92359,8
47,42.591218,-87.932505,10
48,42.593134,-87.927821,12
49,42.583531,-87.929008,2
50,42.588642,-87.926845,1
51,42.590348,-87.928253,8
52,42.587796,-87.929362,7
53,42.59315,-87.927711,8
54,42.589727,-87.925044,8
55,42.587455,-87.928653,3
56,42.589145,-87.928124,9
57,42.586972,-87.923579,8
58,42.584166,-87.932354,7
59,42.583793,-87.930572,11
60,42.58811,-87.930398,11
61,42.59147,-87.925702,9
62,42.591419,-87.925115,10
63,42.586701,-87.929214,5
64,42.583273,-87.927321,6
65,42.590264,-87.928374,3
66,42.585839,-87.931174,11
67,42.589229,-87.926898,3
68,42.591827,-87.932432,1
69,42.590626,-87.924119,11
70,42.586755,-87.932155,10
71,42.58996,-87.930144,6
72,42.587116,-87.924589,12
73,42.590844,-87.928357,11
74,42.587068,-87.924062,5
75,42.59079,-87.926714,6
76,42.58442,-87.930681,3
77,42.58782,-87.933295,1
78,42.586741,-87.926245,8
79,42.586031,-87.92671,2
80,42.583533,-87.926601,6
81,42.586914,-87.927008,12
82,42.593216,-87.92612,3
83,42.592344,-87.925306,2
84,42.588818,-87.92785,1
85,42.585088,-87.928771,9
86,42.591098,-87.933321,6
87,42.593054,-87.931858,5
88,42.587929,-87.926024,1
89,42.588581,-87.931711,5
90,42.588722,-87.92369,5
91,42.591583,-87.932345,5
92,42.584228,-87.927518,3
93,42.591075,-87.925345,4
94,42.584559,-87.928852,7
95,42.590421,-87.929952,6
96,42.584952,-87.924766,6
97,42.584762,-87.931304,8
98,42.585706,-87.927366,4
99,42.587367,-87.92745,1
100,42.586613,-87.923331,10
101,42.591517,-87.933298,5
102,42.585981,-87.928322,12
103,Not Found,Not Found,undefined
104,42.55517971,-87.8589953,26
105,42.556194,-87.855857,7
106,42.554469,-87.859269,8
107,42.552129,-87.854504,8
108,42.553457,-87.858991,10
109,42.556599,-87.860614,8
110,42.559396,-87.861041,9
111,42.552134,-87.858754,8
112,42.558616,-87.854386,8
113,42.55036,-87.859266,2
114,42.555145,-87.862673,3
115,42.554082,-87.855691,8
116,42.557609,-87.858683,1
117,42.552317,-87.855906,3
118,42.557068,-87.862576,6
119,42.554487,-87.859584,11
120,42.557543,-87.857996,11
121,42.551112,-87.862023,4
122,42.551541,-87.860203,12
123,42.556986,-87.854209,9
124,42.559457,-87.861305,11
125,42.55052,-87.859863,12
126,42.552295,-87.855866,5
127,42.55331,-87.85421,5
128,42.556433,-87.85705,2
129,42.555335,-87.862644,9
130,42.551509,-87.857053,5
131,42.551573,-87.858325,4
132,42.551761,-87.862182,9
133,42.558213,-87.855249,6
134,42.558096,-87.862618,2
135,42.558993,-87.857646,8
136,42.554368,-87.85408,1
137,42.550753,-87.863001,4
138,42.557089,-87.859113,10
139,42.553006,-87.854548,9
140,42.556745,-87.863883,11
141,42.550702,-87.856432,9
142,42.557725,-87.854691,7
143,42.551126,-87.86381,12
144,42.55437,-87.860988,2
145,42.554853,-87.859082,2
146,42.551543,-87.859677,7
147,42.559669,-87.861659,5
148,42.55379,-87.854687,12
149,42.554029,-87.860475,12
150,42.550715,-87.85684,5
151,42.55721,-87.858777,12
152,42.557923,-87.862995,11
153,42.551731,-87.857896,11
154,42.553887,-87.855879,9
155,42.555147,-87.857638,12
156,42.552751,-87.862205,4
157,42.553953,-87.857504,12
158,42.556409,-87.858503,11
159,42.554934,-87.8556,12
160,42.551666,-87.860504,8
161,42.550223,-87.857711,10
162,42.558243,-87.86118,3
163,42.553997,-87.857475,4
164,42.555366,-87.862833,2
165,42.554945,-87.861737,7
166,42.553521,-87.854051,11
167,42.553938,-87.860425,3
168,42.557206,-87.859964,8
169,42.555942,-87.854832,5
170,42.55354,-87.858011,6
171,42.559771,-87.854193,12
172,42.554817,-87.856248,9
173,42.558018,-87.855801,7
174,42.554357,-87.860523,6
175,42.551757,-87.861464,11
176,42.556091,-87.85864,2
177,42.550364,-87.859759,11
178,42.554291,-87.863217,1
179,42.552596,-87.858442,5
180,42.559261,-87.856288,3
181,42.554749,-87.854944,1
182,42.553092,-87.857639,7
183,42.556735,-87.863691,11
184,42.555767,-87.854217,9
185,42.557486,-87.857761,3
186,42.551366,-87.86188,2
187,42.551778,-87.86275,9
188,42.551406,-87.86396,1
189,42.550434,-87.855167,4
190,42.558442,-87.862262,4
191,42.55601,-87.855203,7
192,42.554626,-87.861484,11
193,42.550252,-87.858971,1
194,42.553967,-87.858794,5
195,42.550387,-87.855197,8
196,42.550515,-87.860124,9
197,42.550615,-87.857433,9
198,42.555547,-87.860172,8
199,42.560129,-87.855001,7
200,42.556363,-87.855937,8
201,42.555735,-87.862673,8
202,42.553467,-87.855773,9
203,42.559703,-87.857329,5
204,42.555332,-87.862425,12
205,42.57012265,-87.94802904,21
206,42.571001,-87.948739,9
207,42.569049,-87.946759,4
208,42.566722,-87.952401,9
209,42.569447,-87.945403,10
210,42.568622,-87.945853,12
211,42.567695,-87.947828,3
212,42.571515,-87.951929,1
213,42.566064,-87.951371,8
214,42.573085,-87.944876,3
215,42.573727,-87.949294,4
216,42.572674,-87.94369,10
217,42.573954,-87.94977,5
218,42.565766,-87.951762,11
219,42.569958,-87.945051,2
220,42.567414,-87.947676,11
221,42.566941,-87.94347,1
222,42.568207,-87.948271,2
223,42.573076,-87.945586,5
224,42.571925,-87.946674,10
225,42.566882,-87.943891,7
226,42.573435,-87.943218,3
227,42.566251,-87.944295,9
228,42.569095,-87.950064,1
229,42.57405,-87.944087,11
230,42.567501,-87.94402,10
231,42.571636,-87.943902,6
232,42.565874,-87.948626,2
233,42.572546,-87.943295,4
234,42.565283,-87.948319,9
235,42.575091,-87.945259,8
236,42.572117,-87.952584,7
237,42.568864,-87.944723,7
238,42.565151,-87.952545,8
239,42.569163,-87.951298,2
240,42.570935,-87.950089,7
241,42.56674,-87.946153,9
242,42.572292,-87.945849,4
243,42.574502,-87.94928,7
244,42.574815,-87.944775,4
245,42.570641,-87.944311,6
246,42.565387,-87.944075,11
247,42.570521,-87.951015,1
248,42.56951,-87.943471,3
249,42.574093,-87.943219,11
250,42.574061,-87.951166,7
251,42.574682,-87.944448,9
252,42.570783,-87.95129,2
253,42.565754,-87.945765,2
254,42.569844,-87.945303,2
255,42.568471,-87.944967,4
256,42.56959,-87.946695,11
257,42.570341,-87.948936,9
258,42.574027,-87.947241,2
259,42.568608,-87.948431,6
260,42.570259,-87.949325,4
261,42.56589,-87.952106,2
262,42.574646,-87.951304,5
263,42.573893,-87.949359,1
264,42.569998,-87.943168,1
265,42.565964,-87.950422,5
266,42.567809,-87.952176,11
267,42.571466,-87.946134,7
268,42.573634,-87.947612,5
269,42.56813,-87.943301,10
270,42.571695,-87.950046,12
271,42.567322,-87.945765,10
272,42.56666,-87.949467,9
273,42.573676,-87.948945,2
274,42.565604,-87.948051,2
275,42.568363,-87.943881,1
276,42.569755,-87.948877,2
277,42.57033,-87.950466,8
278,42.570715,-87.951898,10
279,42.57213,-87.944475,10
280,42.568106,-87.950516,9
281,42.569032,-87.943052,9
282,42.568537,-87.948187,7
283,42.571997,-87.945422,11
284,42.565759,-87.950453,2
285,42.574426,-87.950068,4
286,42.574913,-87.948816,4
287,42.572506,-87.95231,3
288,42.565605,-87.947378,6
289,42.568302,-87.947584,8
290,42.572253,-87.948931,10
291,42.566477,-87.948573,6
292,42.567695,-87.945654,6
293,42.571364,-87.951165,8
294,42.566631,-87.952165,1
295,42.569669,-87.943885,3
296,42.569235,-87.948489,3
297,42.570684,-87.949701,6
298,42.566872,-87.951872,2
299,42.574427,-87.952011,10
300,42.571012,-87.94813,8
301,42.571719,-87.947919,9
302,42.573685,-87.943111,4
303,42.573337,-87.948428,8
304,42.571605,-87.947144,2
305,42.568135,-87.950065,1
306,42.4984762,-87.87528646,20
307,42.497908,-87.876984,2
308,42.502131,-87.878964,1
309,42.493718,-87.876639,11
310,42.501283,-87.874785,2
311,42.49489,-87.870826,2
312,42.498011,-87.87259,1
313,42.494731,-87.875637,11
314,42.501179,-87.87311,4
315,42.503379,-87.877417,8
316,42.500422,-87.879266,9
317,42.495341,-87.879919,2
318,42.502162,-87.878628,2
319,42.493493,-87.876907,9
320,42.495695,-87.872017,6
321,42.498955,-87.8795,2
322,42.49561,-87.878449,5
323,42.503298,-87.874117,9
324,42.496132,-87.87157,5
325,42.494756,-87.879448,2
326,42.494201,-87.877242,5
327,42.495063,-87.876501,6
328,42.493845,-87.874181,10
329,42.496118,-87.875707,12
330,42.499649,-87.872763,7
331,42.501899,-87.877117,3
332,42.496301,-87.870591,10
333,42.500874,-87.878086,12
334,42.500434,-87.878462,11
335,42.501913,-87.878565,5
336,42.497428,-87.8715,11
337,42.498861,-87.873236,5
338,42.499408,-87.877673,6
339,42.502674,-87.873786,5
340,42.49383,-87.880181,3
341,42.500376,-87.875961,12
342,42.496153,-87.870713,8
343,42.500664,-87.878589,8
344,42.494934,-87.878099,10
345,42.494986,-87.873719,4
346,42.500512,-87.872198,12
347,42.501815,-87.87186,11
348,42.503074,-87.875581,1
349,42.497847,-87.879403,10
350,42.50273,-87.870597,9
351,42.497124,-87.878927,1
352,42.499642,-87.872583,4
353,42.49824,-87.874168,7
354,42.495292,-87.875608,5
355,42.498668,-87.880056,11
356,42.498463,-87.874121,7
